Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
638,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
638,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
638,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
638,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
638,6,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
639,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
639,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
639,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
639,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
639,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
639,6,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
640,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
640,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
640,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
640,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
640,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
640,6,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
641,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
