Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
88,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
89,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
89,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
89,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
89,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
90,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
90,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
90,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
90,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
91,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
91,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
91,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
91,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
92,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
92,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
92,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
92,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
93,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
93,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
93,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
93,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
94,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
94,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
94,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
94,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
95,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
95,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
95,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
95,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
96,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
96,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
96,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
96,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
97,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
97,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
97,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
97,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
98,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
98,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
98,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
98,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
99,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
99,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
99,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
99,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
