Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
30,2,'[#6]','c_carbon','None','CT',232,42,232,232 
30,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
30,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
30,-1,'total','all','None','all',803,42,612,803 
31,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
31,2,'[#6]','c_carbon','None','CT',232,42,232,232 
31,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
31,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
31,-1,'total','all','None','all',803,42,612,803 
32,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
32,2,'[#6]','c_carbon','None','CT',232,42,232,232 
32,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
32,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
32,-1,'total','all','None','all',803,42,612,803 
33,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
33,2,'[#6]','c_carbon','None','CT',232,42,232,232 
33,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
33,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
33,-1,'total','all','None','all',803,42,612,803 
34,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
34,2,'[#6]','c_carbon','None','CT',232,42,232,232 
34,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
34,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
34,-1,'total','all','None','all',803,42,612,803 
35,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
35,2,'[#6]','c_carbon','None','CT',232,42,232,232 
35,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
35,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
35,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
35,-1,'total','all','None','all',803,42,651,803 
36,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
36,2,'[#6]','c_carbon','None','CT',232,42,232,232 
36,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
36,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','H2',9,6,6,33 
36,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
36,6,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1$(*~[#6])]','HC',387,42,244,244 
36,-1,'total','all','None','all',803,42,657,803 
37,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
37,2,'[#6]','c_carbon','None','CT',232,42,232,232 
37,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
37,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','H2',9,6,6,33 
37,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
37,6,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1$(*~[#6])]','HC',387,42,244,244 
37,-1,'total','all','None','all',803,42,657,803 
38,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
38,2,'[#6]','c_carbon','None','CT',232,42,232,232 
38,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
38,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','H2',9,6,6,33 
38,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
